O,D,cluster,nrOfTrips
1001,1001,1,0
1001,1001,2,0
1001,1001,3,0
1001,1001,4,0
1001,1001,5,0
1001,1001,6,0
1001,1002,1,350
1001,1002,2,2182
1001,1002,3,0
1001,1002,4,2035
1001,1002,5,50
1001,1002,6,0
1001,1003,1,149
1001,1003,2,931
1001,1003,3,0
1001,1003,4,868
1001,1003,5,21
1001,1003,6,0
1001,1004,1,2
1001,1004,2,14
1001,1004,3,0
1001,1004,4,13
1001,1004,5,0
1001,1004,6,0
1001,1005,1,1
1001,1005,2,7
1001,1005,3,0
1001,1005,4,7
1001,1005,5,0
1001,1005,6,0
1001,1006,1,0
1001,1006,2,0
1001,1006,3,0
1001,1006,4,0
1001,1006,5,0
1001,1006,6,0
1001,1007,1,2
1001,1007,2,12
1001,1007,3,0
1001,1007,4,11
1001,1007,5,0
1001,1007,6,0
1001,2611,1,672
1001,2611,2,4185
1001,2611,3,0
1001,2611,4,3904
1001,2611,5,96
1001,2611,6,0
1001,2612,1,923
1001,2612,2,5749
1001,2612,3,0
1001,2612,4,5362
1001,2612,5,132
1001,2612,6,0
1001,2613,1,362
1001,2613,2,2258
1001,2613,3,0
1001,2613,4,2106
1001,2613,5,51
1001,2613,6,0
1001,2614,1,55
1001,2614,2,346
1001,2614,3,0
1001,2614,4,322
1001,2614,5,7
1001,2614,6,0
1001,2616,1,0
1001,2616,2,0
1001,2616,3,0
1001,2616,4,0
1001,2616,5,0
1001,2616,6,0
1001,2622,1,2
1001,2622,2,14
1001,2622,3,0
1001,2622,4,13
1001,2622,5,0
1001,2622,6,0
1001,2623,1,3
1001,2623,2,20
1001,2623,3,0
1001,2623,4,19
1001,2623,5,0
1001,2623,6,0
1001,2624,1,31
1001,2624,2,196
1001,2624,3,0
1001,2624,4,182
1001,2624,5,4
1001,2624,6,0
1001,2625,1,19
1001,2625,2,121
1001,2625,3,0
1001,2625,4,113
1001,2625,5,2
1001,2625,6,0
1001,2626,1,0
1001,2626,2,1
1001,2626,3,0
1001,2626,4,1
1001,2626,5,0
1001,2626,6,0
1001,2627,1,1
1001,2627,2,9
1001,2627,3,0
1001,2627,4,8
1001,2627,5,0
1001,2627,6,0
1001,2628,1,29
1001,2628,2,181
1001,2628,3,0
1001,2628,4,169
1001,2628,5,4
1001,2628,6,0
1001,2629,1,0
1001,2629,2,4
1001,2629,3,0
1001,2629,4,4
1001,2629,5,0
1001,2629,6,0
1001,3000,1,26
1001,3000,2,166
1001,3000,3,0
1001,3000,4,154
1001,3000,5,3
1001,3000,6,0
1002,1001,1,81
1002,1001,2,505
1002,1001,3,0
1002,1001,4,471
1002,1001,5,11
1002,1001,6,0
1002,1002,1,0
1002,1002,2,0
1002,1002,3,0
1002,1002,4,0
1002,1002,5,0
1002,1002,6,0
1002,1003,1,17
1002,1003,2,110
1002,1003,3,0
1002,1003,4,103
1002,1003,5,2
1002,1003,6,0
1002,1004,1,0
1002,1004,2,1
1002,1004,3,0
1002,1004,4,1
1002,1004,5,0
1002,1004,6,0
1002,1005,1,0
1002,1005,2,0
1002,1005,3,0
1002,1005,4,0
1002,1005,5,0
1002,1005,6,0
1002,1006,1,0
1002,1006,2,0
1002,1006,3,0
1002,1006,4,0
1002,1006,5,0
1002,1006,6,0
1002,1007,1,0
1002,1007,2,0
1002,1007,3,0
1002,1007,4,0
1002,1007,5,0
1002,1007,6,0
1002,2611,1,3
1002,2611,2,22
1002,2611,3,0
1002,2611,4,20
1002,2611,5,0
1002,2611,6,0
1002,2612,1,1
1002,2612,2,9
1002,2612,3,0
1002,2612,4,8
1002,2612,5,0
1002,2612,6,0
1002,2613,1,7
1002,2613,2,44
1002,2613,3,0
1002,2613,4,41
1002,2613,5,1
1002,2613,6,0
1002,2614,1,3
1002,2614,2,20
1002,2614,3,0
1002,2614,4,19
1002,2614,5,0
1002,2614,6,0
1002,2616,1,0
1002,2616,2,0
1002,2616,3,0
1002,2616,4,0
1002,2616,5,0
1002,2616,6,0
1002,2622,1,0
1002,2622,2,1
1002,2622,3,0
1002,2622,4,1
1002,2622,5,0
1002,2622,6,0
1002,2623,1,0
1002,2623,2,0
1002,2623,3,0
1002,2623,4,0
1002,2623,5,0
1002,2623,6,0
1002,2624,1,0
1002,2624,2,3
1002,2624,3,0
1002,2624,4,2
1002,2624,5,0
1002,2624,6,0
1002,2625,1,1
1002,2625,2,7
1002,2625,3,0
1002,2625,4,7
1002,2625,5,0
1002,2625,6,0
1002,2626,1,0
1002,2626,2,0
1002,2626,3,0
1002,2626,4,0
1002,2626,5,0
1002,2626,6,0
1002,2627,1,0
1002,2627,2,0
1002,2627,3,0
1002,2627,4,0
1002,2627,5,0
1002,2627,6,0
1002,2628,1,0
1002,2628,2,1
1002,2628,3,0
1002,2628,4,1
1002,2628,5,0
1002,2628,6,0
1002,2629,1,0
1002,2629,2,0
1002,2629,3,0
1002,2629,4,0
1002,2629,5,0
1002,2629,6,0
1002,3000,1,0
1002,3000,2,3
1002,3000,3,0
1002,3000,4,2
1002,3000,5,0
1002,3000,6,0
1003,1001,1,30
1003,1001,2,189
1003,1001,3,0
1003,1001,4,176
1003,1001,5,4
1003,1001,6,0
1003,1002,1,15
1003,1002,2,98
1003,1002,3,0
1003,1002,4,91
